tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***71716,20180101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0008,NR,220 DOVERCOURT RD,,,ON
***71717,20180101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0009,NR,220 DOVERCOURT RD,,,ON
***92315,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0009,NR,73 CHAMBERLAIN AVE,,,ON
***92316,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0009,NR,73 CHAMBERLAIN AVE,,,ON
***71718,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0010,NR,210 DOVERCOURT RD,,,QC
***92317,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0010,NR,73 CHAMBERLAIN AVE,,,ON
***71719,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0011,OPP,215 DOVERCOURT RD,,,ON
***92318,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0011,NR,65 CHAMBERLAIN AVE,,,ON
***71720,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0012,NR,202 DOVERCOURT RD,,,ON
***73028,20180101,3,PARK ON PRIVATE PROPERTY,30,0012,AT,735 COLLEGE ST,,,ON
***92319,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0012,NR,45 CHAMBERLAIN AVE,,,ON
***92320,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0014,NR,38 CHAMBERLAIN AVE,,,ON
***92518,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0016,NR,281 OSLER ST,,,ON
***92321,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0018,OPP,68 SNIDER AVE,,,ON
***61115,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0019,W/S,GREAT WEST DR,S/O,DE JONG ST,ON
***92322,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0019,OPP,68 SNIDER AVE,,,ON
***61116,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0020,NR,32 DE JONG ST,,,ON
***92323,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0020,OPP,74 SNIDER AVE,,,ON
***73029,20180101,367,STND ONSTRT ACCESSIBLE NO PRMT,450,0021,OPP,410 COLLEGE ST,,,ON
***92324,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0021,NR,200 SCHELL AVE,,,ON
***61117,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0022,NR,3 DE JONG ST,,,ON
***73030,20180101,367,STND ONSTRT ACCESSIBLE NO PRMT,450,0022,OPP,410 COLLEGE ST,,,ON
***92519,20180101,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0022,E/S,OLD WESTON RD,S/O,ST CLAIR AVE W,ON
***61118,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0023,OPP,54 ZEZEL WAY,,,ON
***92325,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0024,NR,146 BOWIE AVE,,,ON
***92520,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0024,E/S,FORD ST,S/O,ST CLAIR AVE W,ON
***92521,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0024,E/S,FORD ST,S/O,ST CLAIR AVE W,ON
***92326,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0025,NR,146 BOWIE AVE,,,ON
***92522,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0025,E/S,FORD ST,S/O,ST CLAIR AVE W,ON
***92523,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0025,E/S,FORD ST,S/O,ST CLAIR AVE W,ON
***92327,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0026,NR,120 BOWIE AVE,,,ON
***92328,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0028,NR,104 BOWIE AVE,,,ON
***92329,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0028,NR,103 BOWIE AVE,,,ON
***92330,20180101,406,PARK-VEH. W/O VALID ONT PLATE,40,0028,NR,103 BOWIE AVE,,,ON
***64231,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0029,NR,639 ST CLARENS AVE,,,ON
***84573,20180101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0029,NR,1294 QUEEN ST W,,,ON
***61119,20180101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0030,NR,25 TOWN CENTRE CRT,,,ON
***73031,20180101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0030,E/S,BEATRICE ST,S/O,COLLEGE ST,ON
***92331,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0030,NR,52 BOWIE AVE,,,ON
***64232,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0031,NR,633 ST CLARENS AVE,,,ON
***73032,20180101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0031,E/S,BEATRICE ST,S/O,COLLEGE ST,ON
***64233,20180101,406,PARK-VEH. W/O VALID ONT PLATE,40,0032,NR,631 ST CLARENS AVE,,,ON
***92332,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0032,NR,56 BOWIE AVE,,,ON
***64234,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0033,NR,631 ST CLARENS AVE,,,ON
***64235,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0034,NR,625 ST CLARENS AVE,,,ON
***64236,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0036,NR,615 ST CLARENS AVE,,,ON
***84574,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0036,NR,105 SUNNYSIDE AVE,,,ON
***92333,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0036,NR,370 HOPEWELL AVE,,,ON
***92334,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0036,NR,370 HOPEWELL AVE,,,ON
***64237,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0037,NR,613 ST CLARENS AVE,,,ON
***71721,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0038,NR,300 DOVERCOURT RD,,,ON
***64238,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0038,NR,607 ST CLARENS AVE,,,ON
***84575,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0038,NR,123 SUNNYSIDE AVE,,,ON
***92335,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0038,NR,370 HOPEWELL AVE,,,ON
***92524,20180101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0038,NR,444 ROGERS RD,,,ON
***71722,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0039,NR,300 DOVERCOURT RD,,,ON
***36226,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0039,OPP,11 POLSON ST,,,ON
***49453,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0039,OPP,11 POLSON ST,,,ON
***64239,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0039,NR,599 ST CLARENS AVE,,,ON
***84576,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0039,NR,127 SUNNYSIDE AVE,,,ON
***92336,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0039,NR,342 HOPEWELL AVE,,,ON
***71723,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0040,NR,300 DOVERCOURT RD,,,ON
***92337,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0040,NR,330 HOPEWELL AVE,,,ON
***64240,20180101,406,PARK-VEH. W/O VALID ONT PLATE,40,0041,NR,599 ST CLARENS AVE,,,ON
***92338,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0041,NR,330 HOPEWELL AVE,,,ON
***64241,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0042,NR,589 ST CLARENS AVE,,,ON
***84577,20180101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0042,NR,127 RONCESVALLES AVE,,,ON
***64242,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0043,NR,583 ST CLARENS AVE,,,ON
***92339,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0043,NR,330 HOPEWELL AVE,,,ON
***92525,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0043,NR,230 BICKNELL AVE,,,ON
***64243,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0045,NR,575 ST CLARENS AVE,,,ON
***64244,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0046,NR,571 ST CLARENS AVE,,,ON
***96820,20180101,3,PARK ON PRIVATE PROPERTY,30,0048,AT,655 DIXON RD,,,ON
***64245,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0049,NR,571 ST CLARENS AVE,,,ON
***84578,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0049,NR,5 PEARSON AVE,,,ON
***92340,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0049,NR,47 BUDE ST,,,ON
***96821,20180101,3,PARK ON PRIVATE PROPERTY,30,0049,AT,655 DIXON RD,,,ON
***61120,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0050,S/S,BONIS AVE,E/O,CARABOB CRT,ON
***61121,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0050,S/S,BONIS AVE,E/O,CARABOB CRT,ON
***84579,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0051,NR,5 PEARSON AVE,,,ON
***92341,20180101,16,PARK-WITHIN 9M INTERSECT ROAD,50,0051,E/S,ALAMEDA AVE,N/O,CLOVELLY AVE,ON
***64246,20180101,336,PARK-FAIL TO DISPLAY PERMIT,30,0052,NR,571 ST CLARENS AVE,,,ON
***96822,20180101,3,PARK ON PRIVATE PROPERTY,30,0052,AT,655 DIXON RD,,,ON
***84580,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0054,NR,5 PEARSON AVE,,,ON
***96823,20180101,3,PARK ON PRIVATE PROPERTY,30,0054,AT,655 DIXON RD,,,ON
***84581,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0055,NR,102 MACDONELL AVE,,,ON
***92342,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0055,NR,121 CLOVELLY AVE,,,ON
***92343,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0056,NR,205 GLOUCESTER GRV,,,ON
***92344,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0058,NR,175 GLOUCESTER GRV,,,ON
***71724,20180101,3,PARK ON PRIVATE PROPERTY,30,0059,AT,219 FORT YORK BLVD,,,ON
***71725,20180101,3,PARK ON PRIVATE PROPERTY,30,0101,AT,219 FORT YORK BLVD,,,ON
***73033,20180101,384,STOP VEH OTR THN BCYCL-BYCL LN,150,0101,NR,520 BLOOR ST W,,,ON
***92345,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0102,NR,290 OAKWOOD AVE,,,ON
***98657,20180101,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0102,OPP,6 EVELYN WIGGINS DR,,,ON
***48715,20180101,3,PARK ON PRIVATE PROPERTY,30,0103,AT,6170 BATHURST ST,,,ON
***48716,20180101,3,PARK ON PRIVATE PROPERTY,30,0103,AT,6170 BATHURST ST,,,ON
***92346,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0103,NR,294 OAKWOOD AVE,,,MI
***92347,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0103,NR,298 OAKWOOD AVE,,,ON
***48717,20180101,3,PARK ON PRIVATE PROPERTY,30,0105,AT,6170 BATHURST ST,,,ON
***92348,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0105,NR,231 OAKWOOD AVE,,,ON
***73034,20180101,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0106,NR,1073 BATHURST ST,,,ON
***92349,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0106,NR,239 OAKWOOD AVE,,,ON
***92350,20180101,406,PARK-VEH. W/O VALID ONT PLATE,40,0106,NR,239 OAKWOOD AVE,,,ON
***71726,20180101,3,PARK ON PRIVATE PROPERTY,30,0107,AT,219 FORT YORK BLVD,,,ON
***71727,20180101,3,PARK ON PRIVATE PROPERTY,30,0107,AT,219 FORT YORK BLVD,,,ON
***48718,20180101,3,PARK ON PRIVATE PROPERTY,30,0107,AT,6170 BATHURST ST,,,ON
***92351,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0107,NR,241 OAKWOOD AVE,,,ON
***71728,20180101,3,PARK ON PRIVATE PROPERTY,30,0108,AT,219 FORT YORK BLVD,,,ON
***48719,20180101,3,PARK ON PRIVATE PROPERTY,30,0108,AT,6170 BATHURST ST,,,ON
***92352,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0108,NR,250 OAKWOOD AVE,,,ON
***92353,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0108,NR,244 OAKWOOD AVE,,,ON
***71729,20180101,3,PARK ON PRIVATE PROPERTY,30,0109,AT,219 FORT YORK BLVD,,,ON
***71730,20180101,3,PARK ON PRIVATE PROPERTY,30,0109,AT,219 FORT YORK BLVD,,,ON
***48720,20180101,3,PARK ON PRIVATE PROPERTY,30,0110,AT,6170 BATHURST ST,,,ON
***92354,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0110,NR,202 OAKWOOD AVE,,,ON
***71731,20180101,3,PARK ON PRIVATE PROPERTY,30,0111,AT,219 FORT YORK BLVD,,,ON
***48721,20180101,3,PARK ON PRIVATE PROPERTY,30,0111,AT,6170 BATHURST ST,,,ON
***98658,20180101,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0111,OPP,22 EVELYN WIGGINS DR,,,ON
***71732,20180101,3,PARK ON PRIVATE PROPERTY,30,0112,AT,219 FORT YORK BLVD,,,ON
***69010,20180101,3,PARK ON PRIVATE PROPERTY,30,0112,AT,70 TEMPERANCE ST,,,ON
***92355,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0112,NR,188 OAKWOOD AVE,,,ON
***71733,20180101,3,PARK ON PRIVATE PROPERTY,30,0113,AT,219 FORT YORK BLVD,,,ON
***92356,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0113,NR,184 OAKWOOD AVE,,,ON
***92357,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0113,NR,184 OAKWOOD AVE,,,ON
***71734,20180101,3,PARK ON PRIVATE PROPERTY,30,0114,AT,218 FORT YORK BLVD,,,ON
***92358,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0114,NR,180 OAKWOOD AVE,,,ON
***71735,20180101,3,PARK ON PRIVATE PROPERTY,30,0115,AT,215 FORT YORK BLVD,,,ON
***71736,20180101,3,PARK ON PRIVATE PROPERTY,30,0115,AT,215 FORT YORK BLVD,,,ON
***49454,20180101,3,PARK ON PRIVATE PROPERTY,30,0116,AT,21 CARLTON ST,,,ON
***61122,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0121,NR,37 MEADOW AVE,,,ON
***98659,20180101,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0122,NR,396 COOK RD,,,ON
***61123,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0124,NR,1 MEADOW AVE,,,ON
***74590,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0124,NR,24 DARTFORD RD,,,ON
***84582,20180101,3,PARK ON PRIVATE PROPERTY,30,0125,NR,2360 DUNDAS ST W,,,ON
***92081,20180101,3,PARK ON PRIVATE PROPERTY,30,0126,,72 CLINTON ST,,,ON
***61124,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0126,OPP,18 MEADOW AVE,,,ON
***84583,20180101,3,PARK ON PRIVATE PROPERTY,30,0126,NR,2360 DUNDAS ST W,,,ON
***84584,20180101,3,PARK ON PRIVATE PROPERTY,30,0127,NR,2360 DUNDAS ST W,,,ON
***84585,20180101,3,PARK ON PRIVATE PROPERTY,30,0127,NR,2360 DUNDAS ST W,,,ON
***96824,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0127,NR,74 SIXTEENTH ST,,,ON
***48722,20180101,48,FAIL TO PARK/STOP PARALL. CURB,30,0128,NR,22 ELDORA AVE,,,ON
***61125,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0128,NR,25 MEADOW AVE,,,AZ
***84586,20180101,3,PARK ON PRIVATE PROPERTY,30,0128,NR,2360 DUNDAS ST W,,,ON
***84587,20180101,3,PARK ON PRIVATE PROPERTY,30,0129,NR,2360 DUNDAS ST W,,,ON
***96825,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0129,NR,98 SIXTEENTH ST,,,ON
***96826,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0130,NR,100 SIXTEENTH ST,,,ON
***48723,20180101,48,FAIL TO PARK/STOP PARALL. CURB,30,0131,NR,8 ELDORA AVE,,,ON
***84588,20180101,3,PARK ON PRIVATE PROPERTY,30,0131,NR,2360 DUNDAS ST W,,,ON
***48724,20180101,48,FAIL TO PARK/STOP PARALL. CURB,30,0132,NR,8 ELDORA AVE,,,ON
***69011,20180101,3,PARK ON PRIVATE PROPERTY,30,0132,AT,50 JOHN ST,,,VT
***69012,20180101,3,PARK ON PRIVATE PROPERTY,30,0133,AT,50 JOHN ST,,,ON
***36227,20180101,192,STAND SIGNED TRANSIT STOP,150,0134,NR,1105 QUEEN ST E,,,ON
***49455,20180101,192,STAND SIGNED TRANSIT STOP,150,0134,NR,1105 QUEEN ST E,,,ON
***96827,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0134,OPP,83 SEVENTEENTH ST,,,ON
***96828,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0136,OPP,79 SEVENTEENTH ST,,,ON
***92359,20180101,14,PARK-OBSTRUCT (DRWAY/LANEWAY),50,0137,NR,128 ENNERDALE RD,,,ON
***96829,20180101,406,PARK-VEH. W/O VALID ONT PLATE,40,0137,OPP,79 SEVENTEENTH ST,,,ON
***61126,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0139,S/S,BAMBLETT DR,E/O,WARDEN AVE,ON
***61127,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0139,S/S,BAMBLETT DR,E/O,WARDEN AVE,ON
***96830,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0140,NR,84 SIXTEENTH ST,,,ON
***61128,20180101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0141,NR,9 BAMBLETT DR,,,ON
***85975,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0146,NR,924 DOVERCOURT RD,,,ON
***92360,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0148,NR,9 GLENORA AVE,,,ON
***71737,20180101,3,PARK ON PRIVATE PROPERTY,30,0149,AT,15 FORT YORK BLVD,,,ON
***92361,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0149,NR,3 GLENORA AVE,,,ON
***92362,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0150,NR,589 VAUGHAN RD,,,ON
***92363,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0151,NR,589 VAUGHAN RD,,,ON
***92364,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0151,NR,583 VAUGHAN RD,,,ON
***73035,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0152,NR,55 EAST LIBERTY ST,,,ON
***92526,20180101,3,PARK ON PRIVATE PROPERTY,30,0152,AT,300 QUEEN'S DR,,,AB
***92527,20180101,3,PARK ON PRIVATE PROPERTY,30,0152,AT,300 QUEEN'S DR,,,ON
***85976,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0153,NR,685 DOVERCOURT RD,,,ON
***73036,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0153,NR,55 EAST LIBERTY ST,,,ON
***92528,20180101,3,PARK ON PRIVATE PROPERTY,30,0153,AT,300 QUEEN'S DR,,,ON
***92529,20180101,3,PARK ON PRIVATE PROPERTY,30,0153,AT,300 QUEEN'S DR,,,ON
***36228,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0154,NR,30 KINGSWOOD RD,,,ON
***73037,20180101,406,PARK-VEH. W/O VALID ONT PLATE,40,0154,NR,55 EAST LIBERTY ST,,,ON
***73038,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0154,NR,55 EAST LIBERTY ST,,,ON
***92530,20180101,3,PARK ON PRIVATE PROPERTY,30,0154,AT,300 QUEEN'S DR,,,ON
***85977,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0155,NR,701 DOVERCOURT RD,,,ON
***49456,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0155,NR,60 KINGSWOOD RD,,,ON
***61129,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0155,OPP,55 DEANS DR,,,ON
***73039,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0155,NR,55 EAST LIBERTY ST,,,ON
***92531,20180101,3,PARK ON PRIVATE PROPERTY,30,0155,AT,300 QUEEN'S DR,,,ON
***73040,20180101,406,PARK-VEH. W/O VALID ONT PLATE,40,0156,NR,55 EAST LIBERTY ST,,,ON
***92532,20180101,3,PARK ON PRIVATE PROPERTY,30,0156,AT,300 QUEEN'S DR,,,ON
***85978,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0157,NR,701 DOVERCOURT RD,,,ON
***36229,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0157,NR,202 KINGSWOOD RD,,,ON
***92533,20180101,3,PARK ON PRIVATE PROPERTY,30,0157,AT,300 QUEEN'S DR,,,ON
***92534,20180101,3,PARK ON PRIVATE PROPERTY,30,0158,AT,300 QUEEN'S DR,,,ON
***92535,20180101,3,PARK ON PRIVATE PROPERTY,30,0200,AT,300 QUEEN'S DR,,,ON
***92536,20180101,3,PARK ON PRIVATE PROPERTY,30,0200,AT,300 QUEEN'S DR,,,ON
***92365,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0201,OPP,10 PRUE AVE,,,ON
***92537,20180101,3,PARK ON PRIVATE PROPERTY,30,0201,AT,300 QUEEN'S DR,,,ON
***85979,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0202,NR,813 DOVERCOURT RD,,,ON
***49457,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0202,OPP,1 SCARBOROUGH RD,,,ON
***92538,20180101,3,PARK ON PRIVATE PROPERTY,30,0202,AT,300 QUEEN'S DR,,,ON
***85980,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0203,NR,823 DOVERCOURT RD,,,ON
***37191,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0203,NR,260 SENECA HILL DR,,,ON
***37192,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0203,NR,260 SENECA HILL DR,,,ON
***92539,20180101,3,PARK ON PRIVATE PROPERTY,30,0203,AT,300 QUEEN'S DR,,,ON
***85981,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0204,NR,831 DOVERCOURT RD,,,ON
***37193,20180101,406,PARK-VEH. W/O VALID ONT PLATE,40,0204,NR,260 SENECA HILL DR,,,ON
***92366,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0204,NR,60 GLENMOUNT AVE,,,ON
***49458,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0206,N/S,GLENFERN AVE,E/O,SILVER BIRCH AVE,ON
***92367,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0206,NR,119 HILLMOUNT AVE,,,ON
***92368,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0206,NR,119 HILLMOUNT AVE,,,ON
***73041,20180101,3,PARK ON PRIVATE PROPERTY,30,0207,AT,50 LYNN WILLIAMS ST,,,ON
***92369,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0207,NR,121 HILLMOUNT AVE,,,ON
***92540,20180101,3,PARK ON PRIVATE PROPERTY,30,0207,AT,300 QUEEN'S DR,,,ON
***61130,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0208,NR,9 DE JONG ST,,,ON
***61131,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0208,NR,15 DE JONG ST,,,ON
***61132,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0209,NR,17 DE JONG ST,,,ON
***92370,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0209,NR,200 GLEN PARK AVE,,,ON
***61133,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0210,NR,23 DE JONG ST,,,ON
***69013,20180101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0210,AT,12 YORK ST,,,ON
***37194,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0211,NR,8 LISZT GT,,,ON
***61134,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0211,NR,27 DE JONG ST,,,ON
***61135,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0211,NR,31 DE JONG ST,,,ON
***92371,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0211,NR,180 GLEN PARK AVE,,,ON
***92372,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0211,NR,180 GLEN PARK AVE,,,ON
***60370,20180101,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0212,NR,23 CARIBOU RD,,,ON
***61136,20180101,8,STAND VEH.-PROHIBIT TIME/DAY,60,0212,NR,33 DE JONG ST,,,ON
